year,spot_rate_01,spot_rate_02
1,0.00555,0.0058275
2,0.00684,0.007182
3,0.00788,0.008274
4,0.00866,0.009093
5,0.00937,0.0098385
6,0.00997,0.0104685
7,0.0105,0.011025
8,0.01098,0.011529
9,0.01144,0.012012
10,0.01188,0.012474
11,0.01226,0.012873
12,0.01259,0.0132195
13,0.01285,0.0134925
14,0.01308,0.013734
15,0.0133,0.013965
16,0.01345,0.0141225
17,0.01358,0.014259
18,0.01368,0.014364
19,0.01375,0.0144375
20,0.01378,0.014469
21,0.01379,0.0144795
22,0.01376,0.014448
23,0.01373,0.0144165
24,0.01369,0.0143745
25,0.01365,0.0143325
26,0.01361,0.0142905
27,0.01356,0.014238
28,0.01351,0.0141855
29,0.01346,0.014133
30,0.0134,0.01407
31,0.01333,0.0139965
32,0.01325,0.0139125
33,0.01316,0.013818
34,0.01306,0.013713
35,0.01295,0.0135975
36,0.01283,0.0134715
37,0.01271,0.0133455
38,0.0126,0.01323
39,0.0125,0.013125
40,0.01241,0.0130305
41,0.01235,0.0129675
42,0.01229,0.0129045
43,0.01222,0.012831
44,0.01214,0.012747
45,0.01203,0.0126315
46,0.0119,0.012495
47,0.01178,0.012369
48,0.01168,0.012264
49,0.01164,0.012222
50,0.01166,0.012243
51,0.01177,0.0123585
52,0.01193,0.0125265
53,0.01215,0.0127575
54,0.01241,0.0130305
55,0.0127,0.013335
56,0.01301,0.0136605
57,0.01333,0.0139965
58,0.01367,0.0143535
59,0.01402,0.014721
60,0.01437,0.0150885
61,0.01473,0.0154665
62,0.01508,0.015834
63,0.01543,0.0162015
64,0.01579,0.0165795
65,0.01613,0.0169365
66,0.01648,0.017304
67,0.01682,0.017661
68,0.01715,0.0180075
69,0.01748,0.018354
70,0.0178,0.01869
71,0.01812,0.019026
72,0.01843,0.0193515
73,0.01874,0.019677
74,0.01903,0.0199815
75,0.01933,0.0202965
76,0.01961,0.0205905
77,0.01989,0.0208845
78,0.02016,0.021168
79,0.02043,0.0214515
80,0.02069,0.0217245
81,0.02095,0.0219975
82,0.0212,0.02226
83,0.02144,0.022512
84,0.02168,0.022764
85,0.02192,0.023016
86,0.02215,0.0232575
87,0.02237,0.0234885
88,0.02259,0.0237195
89,0.0228,0.02394
90,0.02301,0.0241605
91,0.02322,0.024381
92,0.02342,0.024591
93,0.02362,0.024801
94,0.02381,0.0250005
95,0.024,0.0252
96,0.02419,0.0253995
97,0.02437,0.0255885
98,0.02455,0.0257775
99,0.02472,0.025956
100,0.02489,0.0261345
101,0.02506,0.026313
102,0.02522,0.026481
103,0.02539,0.0266595
104,0.02554,0.026817
105,0.0257,0.026985
106,0.02585,0.0271425
107,0.026,0.0273
108,0.02615,0.0274575
109,0.02629,0.0276045
110,0.02643,0.0277515
111,0.02657,0.0278985
112,0.02671,0.0280455
113,0.02684,0.028182
114,0.02698,0.028329
115,0.02711,0.0284655
116,0.02723,0.0285915
117,0.02736,0.028728
118,0.02748,0.028854
119,0.0276,0.02898
120,0.02772,0.029106
121,0.02784,0.029232
122,0.02795,0.0293475
123,0.02807,0.0294735
124,0.02818,0.029589
125,0.02829,0.0297045
126,0.0284,0.02982
127,0.0285,0.029925
128,0.02861,0.0300405
129,0.02871,0.0301455
130,0.02881,0.0302505
131,0.02891,0.0303555
132,0.02901,0.0304605
133,0.02911,0.0305655
134,0.0292,0.03066
135,0.0293,0.030765
136,0.02939,0.0308595
137,0.02948,0.030954
138,0.02957,0.0310485
139,0.02966,0.031143
140,0.02975,0.0312375
141,0.02984,0.031332
142,0.02992,0.031416
143,0.03001,0.0315105
144,0.03009,0.0315945
145,0.03017,0.0316785
146,0.03025,0.0317625
147,0.03033,0.0318465
148,0.03041,0.0319305
149,0.03049,0.0320145
150,0.03056,0.032088
